valid,tmpf,dwpf,sknt,drct,alti,heat_index
2018-01-01 00:00:00+00:00,30.9,28.45,16.5,185.0,30.490000000000002,25.02715
2018-01-01 01:00:00+00:00,30.0,27.0,17.0,10.0,30.53,23.968999999999998
2018-01-01 02:00:00+00:00,28.9,26.1,19.0,10.0,30.56,22.716700000000003
2018-01-01 03:00:00+00:00,28.9,24.1,14.0,10.0,30.58,22.622700000000002
2018-01-01 04:00:00+00:00,28.0,25.825000000000003,16.5,15.0,30.595,21.713775000000002
2018-01-01 05:00:00+00:00,27.0,22.45,19.0,10.0,30.605,20.455150000000003
2018-01-01 06:00:00+00:00,26.1,21.0,18.0,10.0,30.61,19.397
2018-01-01 07:00:00+00:00,26.1,19.0,19.0,360.0,30.62,19.303
2018-01-01 08:00:00+00:00,26.1,18.0,20.0,360.0,30.65,19.256
2018-01-01 09:00:00+00:00,26.1,17.1,15.0,360.0,30.66,19.2137
2018-01-01 10:00:00+00:00,26.1,17.1,19.0,360.0,30.65,19.2137
2018-01-01 11:00:00+00:00,26.1,15.1,16.0,360.0,30.67,19.1197
2018-01-01 12:00:00+00:00,25.0,14.0,19.0,10.0,30.69,17.858
2018-01-01 13:00:00+00:00,25.0,12.9,16.0,10.0,30.71,17.8063
2018-01-01 14:00:00+00:00,26.1,10.9,19.0,10.0,30.73,18.9223
2018-01-01 15:00:00+00:00,27.0,12.0,18.0,10.0,30.75,19.964000000000002
2018-01-01 16:00:00+00:00,28.0,14.0,14.0,30.0,30.75,21.158
2018-01-01 17:00:00+00:00,27.0,12.9,13.0,10.0,30.73,20.006300000000003
2018-01-01 18:00:00+00:00,30.0,14.0,11.0,10.0,30.7,23.358
2018-01-01 19:00:00+00:00,30.0,15.1,12.0,350.0,30.67,23.4097
2018-01-01 20:00:00+00:00,30.9,15.1,15.0,20.0,30.65,24.399700000000003
2018-01-01 21:00:00+00:00,30.9,16.0,12.0,10.0,30.64,24.442
2018-01-01 22:00:00+00:00,30.9,16.0,14.0,30.0,30.62,24.442
2018-01-01 23:00:00+00:00,30.0,16.0,14.0,40.0,30.61,23.451999999999998
2018-01-02 00:00:00+00:00,28.9,15.1,11.0,30.0,30.63,22.199700000000004
2018-01-02 01:00:00+00:00,28.9,15.1,12.0,30.0,30.63,22.199700000000004
2018-01-02 02:00:00+00:00,30.0,16.0,11.0,20.0,30.63,23.451999999999998
2018-01-02 03:00:00+00:00,28.9,15.1,10.0,20.0,30.64,22.199700000000004
2018-01-02 04:00:00+00:00,28.9,15.1,12.0,20.0,30.63,22.199700000000004
2018-01-02 05:00:00+00:00,28.9,15.1,10.0,20.0,30.62,22.199700000000004
2018-01-02 06:00:00+00:00,28.9,14.0,8.0,20.0,30.6,22.148000000000003
2018-01-02 07:00:00+00:00,28.9,14.0,9.0,20.0,30.59,22.148000000000003
2018-01-02 08:00:00+00:00,28.9,15.1,10.0,20.0,30.59,22.199700000000004
2018-01-02 09:00:00+00:00,28.9,15.1,9.0,20.0,30.58,22.199700000000004
2018-01-02 10:00:00+00:00,28.9,15.1,10.0,30.0,30.57,22.199700000000004
2018-01-02 11:00:00+00:00,28.0,15.1,9.0,40.0,30.57,21.2097
2018-01-02 12:00:00+00:00,28.0,15.1,9.0,40.0,30.57,21.2097
2018-01-02 13:00:00+00:00,28.9,16.0,9.0,30.0,30.58,22.242
2018-01-02 14:00:00+00:00,28.9,15.1,11.0,30.0,30.59,22.199700000000004
2018-01-02 15:00:00+00:00,30.0,15.1,9.0,30.0,30.59,23.4097
2018-01-02 16:00:00+00:00,30.0,16.0,8.0,360.0,30.59,23.451999999999998
2018-01-02 17:00:00+00:00,30.9,14.0,11.0,10.0,30.55,24.348000000000003
2018-01-02 18:00:00+00:00,32.0,14.0,10.0,10.0,30.51,25.558000000000003
2018-01-02 19:00:00+00:00,30.9,16.0,9.0,20.0,30.47,24.442
2018-01-02 20:00:00+00:00,30.9,16.0,10.0,20.0,30.46,24.442
2018-01-02 21:00:00+00:00,30.9,18.0,7.0,360.0,30.47,24.536
2018-01-02 22:00:00+00:00,28.9,25.55,11.5,350.0,30.49,22.690850000000005
2018-01-02 23:00:00+00:00,28.9,27.0,9.0,350.0,30.5,22.759
2018-01-03 00:00:00+00:00,28.9,26.55,10.0,360.0,30.505000000000003,22.73785
2018-01-03 01:00:00+00:00,28.9,24.1,11.0,350.0,30.52,22.622700000000002
2018-01-03 02:00:00+00:00,28.0,21.9,11.0,340.0,30.53,21.5293
2018-01-03 03:00:00+00:00,27.5,22.45,11.0,350.0,30.54,21.00515
2018-01-03 04:00:00+00:00,27.0,21.0,8.0,350.0,30.54,20.387
2018-01-03 05:00:00+00:00,24.1,19.9,7.0,350.0,30.52,17.1453
2018-01-03 06:00:00+00:00,19.9,18.0,3.0,340.0,30.51,12.436000000000003
2018-01-03 07:00:00+00:00,16.0,15.1,3.0,350.0,30.5,8.0097
2018-01-03 08:00:00+00:00,17.1,16.0,0.0,0.0,30.49,9.261999999999999
2018-01-03 09:00:00+00:00,18.0,17.1,3.0,270.0,30.49,10.3037
2018-01-03 10:00:00+00:00,16.0,15.1,0.0,0.0,30.48,8.0097
2018-01-03 11:00:00+00:00,17.1,17.1,0.0,0.0,30.48,9.313699999999997
2018-01-03 12:00:00+00:00,18.0,16.0,3.0,230.0,30.47,10.252
2018-01-03 13:00:00+00:00,19.0,18.0,3.0,270.0,30.48,11.446000000000002
2018-01-03 14:00:00+00:00,27.0,23.0,0.0,0.0,30.49,20.481
2018-01-03 15:00:00+00:00,33.0,23.0,7.0,320.0,30.49,27.081
2018-01-03 16:00:00+00:00,37.0,21.9,4.0,330.0,30.48,31.4293
2018-01-03 17:00:00+00:00,41.0,21.9,5.0,,30.45,35.829299999999996
2018-01-03 18:00:00+00:00,46.0,21.9,4.0,,30.4,41.329299999999996
2018-01-03 19:00:00+00:00,51.0,21.9,7.0,320.0,30.36,46.829299999999996
2018-01-03 20:00:00+00:00,54.0,21.9,6.0,350.0,30.34,50.1293
2018-01-03 21:00:00+00:00,55.0,21.9,5.0,300.0,30.33,51.2293
2018-01-03 22:00:00+00:00,55.0,21.0,6.0,310.0,30.32,51.187000000000005
2018-01-03 23:00:00+00:00,43.0,23.0,0.0,0.0,30.32,38.081
2018-01-04 00:00:00+00:00,32.0,24.1,4.0,290.0,30.33,26.032700000000002
2018-01-04 01:00:00+00:00,30.0,24.1,0.0,0.0,30.35,23.8327
2018-01-04 02:00:00+00:00,30.9,26.1,0.0,0.0,30.36,24.916700000000002
2018-01-04 03:00:00+00:00,28.0,24.1,0.0,0.0,30.35,21.6327
2018-01-04 04:00:00+00:00,28.0,25.0,3.0,270.0,30.37,21.675
2018-01-04 05:00:00+00:00,26.1,25.0,0.0,0.0,30.36,19.585
2018-01-04 06:00:00+00:00,26.1,25.0,3.0,270.0,30.35,19.585
2018-01-04 07:00:00+00:00,27.0,24.1,3.0,270.0,30.34,20.532700000000002
2018-01-04 08:00:00+00:00,24.1,21.9,4.0,270.0,30.35,17.239299999999997
2018-01-04 09:00:00+00:00,28.0,24.1,0.0,0.0,30.35,21.6327
2018-01-04 10:00:00+00:00,25.0,23.0,3.0,270.0,30.35,18.281
2018-01-04 11:00:00+00:00,23.0,23.0,0.0,0.0,30.37,16.081
2018-01-04 12:00:00+00:00,23.0,23.0,3.0,250.0,30.37,16.081
2018-01-04 13:00:00+00:00,25.0,24.1,0.0,0.0,30.37,18.3327
2018-01-04 14:00:00+00:00,34.0,28.9,0.0,0.0,30.38,28.4583
2018-01-04 15:00:00+00:00,41.0,30.0,4.0,50.0,30.4,36.209999999999994
2018-01-04 16:00:00+00:00,46.0,28.0,4.0,,30.39,41.616
2018-01-04 17:00:00+00:00,50.0,26.1,3.0,130.0,30.37,45.926700000000004
2018-01-04 18:00:00+00:00,52.0,25.0,4.0,100.0,30.35,48.074999999999996
2018-01-04 19:00:00+00:00,54.0,24.1,0.0,0.0,30.31,50.2327
2018-01-04 20:00:00+00:00,54.0,23.0,3.0,100.0,30.3,50.181000000000004
2018-01-04 21:00:00+00:00,54.0,24.1,5.0,100.0,30.3,50.2327
2018-01-04 22:00:00+00:00,53.0,26.1,4.0,100.0,30.3,49.2267
2018-01-04 23:00:00+00:00,48.0,28.9,0.0,0.0,30.31,43.8583
