geoid,name,impervious_ratio,canopy_cover,drainage_capacity,population_density
48453002201,Census Tract 22.01,0.2804,0.1697,0.3019,534.4
48453000304,Census Tract 3.04,0.5081,0.02,0.08,2561.0
48453000803,Census Tract 8.03,0.4961,0.02,0.08,2283.8
48453002002,Census Tract 20.02,0.3551,0.0332,0.0967,1756.9
48453002113,Census Tract 21.13,0.3964,0.02,0.0905,1702.0
48453045600,Census Tract 456,0.6058,0.02,0.08,1560.2
48453045200,Census Tract 452,0.5613,0.02,0.08,2328.2
48453001311,Census Tract 13.11,0.5327,0.0401,0.1439,1246.5
48453041500,Census Tract 415,0.3677,0.0746,0.1504,2069.4
48453040300,Census Tract 403,0.5832,0.02,0.0887,1874.7
48453000608,Census Tract 6.08,0.8022,0.02,0.08,19188.5
48453002221,Census Tract 22.21,0.1948,0.0668,0.1281,426.6
48453040600,Census Tract 406,0.5846,0.02,0.08,3911.9
48453033400,Census Tract 334,0.3752,0.1396,0.0937,1644.5
48453033700,Census Tract 337,0.284,0.054,0.1134,1168.5
48453002325,Census Tract 23.25,0.4386,0.0546,0.0842,3131.7
48453000308,Census Tract 3.08,0.6347,0.02,0.08,1539.2
48453002409,Census Tract 24.09,0.4098,0.0325,0.0885,2511.8
48453000804,Census Tract 8.04,0.5593,0.02,0.08,2488.5
48453000302,Census Tract 3.02,0.4705,0.02,0.0819,2667.4
48453002316,Census Tract 23.16,0.7862,0.02,0.08,6514.0
48453001304,Census Tract 13.04,0.4575,0.02,0.0814,2169.6
48453001403,Census Tract 14.03,0.5584,0.02,0.08,1846.2
48453002104,Census Tract 21.04,0.4381,0.02,0.0843,2091.4
48453002106,Census Tract 21.06,0.4431,0.02,0.0835,1848.7
48453002307,Census Tract 23.07,0.577,0.0539,0.08,2285.5
48453002422,Census Tract 24.22,0.4681,0.0698,0.0883,2019.3
48453002319,Census Tract 23.19,0.4018,0.02,0.0897,3281.2
48453000203,Census Tract 2.03,0.677,0.02,0.08,2498.9
48453046700,Census Tract 467,0.3786,0.02,0.0995,1260.1
48453044700,Census Tract 447,0.3174,0.02,0.1024,1122.2
48453045700,Census Tract 457,0.6356,0.02,0.08,1156.0
48453042600,Census Tract 426,0.4493,0.02,0.1005,1915.2
48453046400,Census Tract 464,0.4661,0.02,0.1046,969.7
48453032800,Census Tract 328,0.3057,0.2384,0.1145,1252.2
48453034500,Census Tract 345,0.2768,0.4712,0.1209,1428.2
48453030800,Census Tract 308,0.4978,0.2035,0.0802,1566.1
48453002447,Census Tract 24.47,0.4874,0.1228,0.1241,813.7
48453030200,Census Tract 302,0.5273,0.02,0.08,1802.7
48453043600,Census Tract 436,0.3818,0.0984,0.1673,599.2
48453000606,Census Tract 6.06,0.8091,0.02,0.08,14520.3
48453001101,Census Tract 11.01,0.7931,0.02,0.08,1533.1
48453046600,Census Tract 466,0.2543,0.02,0.1161,2497.5
48453040500,Census Tract 405,0.6463,0.02,0.08,2530.7
48453044300,Census Tract 443,0.4383,0.02,0.1043,1972.7
48453043200,Census Tract 432,0.5437,0.02,0.1003,3265.6
48453002004,Census Tract 20.04,0.7156,0.02,0.08,3505.0
48453002314,Census Tract 23.14,0.3906,0.2532,0.0931,2227.2
48453000101,Census Tract 1.01,0.427,0.0363,0.0907,1473.5
48453002105,Census Tract 21.05,0.7109,0.02,0.08,2488.9
48453002304,Census Tract 23.04,0.4581,0.02,0.4226,3109.5
48453031600,Census Tract 316,0.4199,0.1192,0.0918,663.1
48453047000,Census Tract 470,0.18,0.02,0.1641,167.0
48453041000,Census Tract 410,0.6231,0.02,0.08,2902.5
48453002006,Census Tract 20.06,0.4832,0.02,0.08,3246.3
48453040100,Census Tract 401,0.6406,0.02,0.08,2962.3
48453040900,Census Tract 409,0.5992,0.02,0.08,3720.2
48453002321,Census Tract 23.21,0.4557,0.0637,0.0817,2066.9
48453002419,Census Tract 24.19,0.4585,0.148,0.2275,2897.0
48453042000,Census Tract 420,0.1967,0.2554,0.1249,465.5
48453031100,Census Tract 311,0.0871,0.5435,0.1377,223.4
48453002326,Census Tract 23.26,0.2387,0.1899,0.3144,1262.8
48453042300,Census Tract 423,0.4752,0.02,0.1025,2517.8
48453000607,Census Tract 6.07,0.5767,0.02,0.08,6357.8
48453030300,Census Tract 303,0.4607,0.0683,0.0809,1856.0
48453002211,Census Tract 22.11,0.1673,0.2793,0.1317,691.2
48453041300,Census Tract 413,0.4345,0.0592,0.1043,1861.2
48453002443,Census Tract 24.43,0.5806,0.0717,0.1163,2307.3
48453002320,Census Tract 23.20,0.5054,0.1083,0.08,1588.6
48453001505,Census Tract 15.05,0.4925,0.02,0.08,2184.0
48453032500,Census Tract 325,0.497,0.0264,0.1148,1464.8
48453046300,Census Tract 463,0.4353,0.02,0.0966,880.3
48453043700,Census Tract 437,0.4368,0.1482,0.1327,2785.6
48453030900,Census Tract 309,0.413,0.0394,0.0881,2098.3
48453001504,Census Tract 15.04,0.5326,0.02,0.08,2554.9
48453000901,Census Tract 9.01,0.5564,0.02,0.08,3656.9
48453001102,Census Tract 11.02,0.7153,0.02,0.142,7850.1
48453002410,Census Tract 24.10,0.4799,0.0322,0.08,3149.9
48453043900,Census Tract 439,0.5742,0.02,0.08,1293.5
48453032200,Census Tract 322,0.4286,0.02,0.0857,1335.5
48453002407,Census Tract 24.07,0.1771,0.1951,0.1662,563.8
48453000402,Census Tract 4.02,0.5373,0.02,0.08,2077.6
48453002423,Census Tract 24.23,0.4327,0.0615,0.0851,2388.7
48453001307,Census Tract 13.07,0.4402,0.0583,0.084,2871.4
48453001402,Census Tract 14.02,0.4001,0.02,0.1292,1685.0
48453002108,Census Tract 21.08,0.3592,0.2501,0.1339,1258.6
48453002110,Census Tract 21.10,0.3585,0.1582,0.132,1116.9
48453002413,Census Tract 24.13,0.396,0.0573,0.13,2508.4
48453001606,Census Tract 16.06,0.4893,0.02,0.08,170.7
48453001916,Census Tract 19.16,0.1597,0.5375,0.1416,233.0
48453002436,Census Tract 24.36,0.0502,0.0393,0.1452,47.5
48453000801,Census Tract 8.01,0.4537,0.02,0.102,1540.8
48453001312,Census Tract 13.12,0.4832,0.0382,0.08,2404.1
48453032400,Census Tract 324,0.679,0.1156,0.08,663.0
48453041900,Census Tract 419,0.3839,0.1661,0.1514,1236.0
48453036700,Census Tract 367,0.2407,0.2564,0.1139,989.4
48453033000,Census Tract 330,0.232,0.3563,0.1153,789.7
48453037400,Census Tract 374,0.2208,0.0957,0.2888,381.4
48453031800,Census Tract 318,0.4322,0.02,0.0852,1891.4
48453037300,Census Tract 373,0.1829,0.3645,0.2182,332.2
48453037000,Census Tract 370,0.2861,0.2258,0.1073,582.0
48453036300,Census Tract 363,0.05,0.7216,0.1436,13.6
48453043400,Census Tract 434,0.734,0.02,0.08,4621.9
48453002441,Census Tract 24.41,0.4567,0.1048,0.1017,2584.6
48453043300,Census Tract 433,0.6365,0.02,0.08,3564.6
48453002452,Census Tract 24.52,0.1284,0.0248,0.2324,343.8
48453002324,Census Tract 23.24,0.7235,0.02,0.08,3914.8
48453002450,Census Tract 24.50,0.0693,0.1028,0.1447,130.6
48453037600,Census Tract 376,0.0821,0.3965,0.3826,99.9
48453036000,Census Tract 360,0.1423,0.4096,0.1295,327.7
48453045100,Census Tract 451,0.5975,0.02,0.08,2277.2
48453042900,Census Tract 429,0.6623,0.02,0.08,2204.2
48453031900,Census Tract 319,0.2662,0.1982,0.1101,976.7
48453044500,Census Tract 445,0.4361,0.02,0.0961,1781.0
48453033500,Census Tract 335,0.4107,0.1232,0.0884,2068.4
48453040200,Census Tract 402,0.6049,0.0202,0.08,2251.7
48453030000,Census Tract 300,0.2503,0.4165,0.1221,792.5
48453030500,Census Tract 305,0.0975,0.7756,0.1416,333.3
48453045300,Census Tract 453,0.6368,0.0441,0.1024,1544.7
48453031400,Census Tract 314,0.1639,0.1512,0.4907,358.8
